N,P,K,temperature,humidity,ph,rainfall,label
2.0,24.0,38.0,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate
6.0,18.0,37.0,19.65690085,89.93701023,5.937649578,108.0458926,pomegranate
8.0,26.0,36.0,18.78359608,87.4024767,6.804781106,102.5184759,pomegranate
37.0,18.0,39.0,24.1469628,94.5110662,6.424670614,110.2316633,pomegranate
0.0,27.0,38.0,22.44581266,89.90147027,6.738016221,109.3905998,pomegranate
31.0,25.0,38.0,24.96273236,92.40501423,6.497366677,109.4169192,pomegranate
21.0,21.0,38.0,22.5526059,89.3259486,6.327673765,104.8955643,pomegranate
6.0,30.0,40.0,22.77035608,91.45498527,6.36137446,106.9659201,pomegranate
25.0,27.0,41.0,19.20090378,94.27659596,6.923509371,108.0423555,pomegranate
15.0,11.0,38.0,23.12808226,92.68328358,6.630646083,109.3930157,pomegranate
14.0,5.0,36.0,24.92639065,85.19098079,5.832525853,104.7693804,pomegranate
16.0,10.0,41.0,24.77464458,85.63608688,6.738993954,105.7595811,pomegranate
36.0,7.0,37.0,19.8671184,86.35590206,5.782435567,108.3168858,pomegranate
4.0,20.0,41.0,24.26601316,93.7974061,6.537042717,104.5375109,pomegranate
29.0,22.0,40.0,23.62600218,89.73266695,6.145104401,107.6836871,pomegranate
16.0,15.0,42.0,19.67832052,89.08935702,6.890784045,108.5468633,pomegranate
18.0,27.0,41.0,22.36509395,92.30882391,7.175344328,104.8216333,pomegranate
11.0,18.0,42.0,21.57936934,94.88267728,5.938528744,102.8593382,pomegranate
5.0,15.0,38.0,18.26233221,88.16779129,5.709380472,108.0756727,pomegranate
18.0,23.0,44.0,23.71028128,89.61794165,6.184400085,105.6499907,pomegranate
9.0,8.0,40.0,22.48720144,89.9224883,6.553509673,111.6631582,pomegranate
40.0,27.0,45.0,21.6602498,94.79397419,5.885638185,112.4349689,pomegranate
22.0,23.0,44.0,20.13037175,89.31505137,6.143874691,107.3416913,pomegranate
9.0,16.0,39.0,18.41164435,91.11927248,6.101198974,105.1834976,pomegranate
12.0,29.0,40.0,19.68291173,89.75272999,6.594037135,111.2818551,pomegranate
0.0,17.0,42.0,23.20242586,91.19442671,6.859840821,109.0946323,pomegranate
2.0,21.0,44.0,18.92157197,87.31290342,6.56893406,102.8013275,pomegranate
28.0,6.0,40.0,22.10621387,91.34039616,6.769855664,106.8704803,pomegranate
8.0,23.0,44.0,18.47412402,89.68919664,7.130837931,108.4758509,pomegranate
29.0,16.0,36.0,19.81069447,88.92944254,5.740338002,102.860084,pomegranate
17.0,18.0,43.0,24.4880844,90.83687246,5.843005428,103.1969341,pomegranate
34.0,21.0,42.0,18.75927679,89.93457597,6.648687274,111.0196744,pomegranate
21.0,23.0,42.0,19.54128063,90.29751796,6.902751061,104.3739878,pomegranate
25.0,17.0,40.0,18.91251245,87.74938524,6.608023872,111.2800516,pomegranate
8.0,25.0,36.0,19.91330523,94.95031368,6.828522375,104.0277061,pomegranate
26.0,18.0,42.0,19.72620525,89.64934166,6.910374919,108.2287276,pomegranate
4.0,19.0,42.0,23.83185873,87.84034604,6.306605528,111.2232716,pomegranate
36.0,24.0,41.0,24.94467632,94.25702672,7.009180374,103.8799347,pomegranate
5.0,24.0,40.0,24.692258,93.87030088,6.297907579,104.6735454,pomegranate
19.0,17.0,39.0,24.72485577,85.56083187,6.728599215,111.2787584,pomegranate
39.0,30.0,38.0,20.12644921,87.59629625,6.965156738,108.065579,pomegranate
5.0,29.0,44.0,21.02432943,93.0569505,5.578095745,104.7847006,pomegranate
4.0,24.0,43.0,22.40423537,88.1508343,7.199504273,109.8695196,pomegranate
38.0,21.0,35.0,20.33691147,89.38003827,5.841367187,110.9653137,pomegranate
37.0,11.0,36.0,24.24779615,85.56033312,6.710143266,106.9216033,pomegranate
9.0,25.0,41.0,24.81530144,91.90842992,5.972714857,109.2853418,pomegranate
29.0,22.0,43.0,19.66329768,87.95158129,5.561851831,106.0380805,pomegranate
5.0,21.0,38.0,22.43377991,90.3396556,6.107054808,112.459697,pomegranate
22.0,26.0,38.0,22.92052307,85.12912161,6.988035315,110.2437841,pomegranate
4.0,18.0,37.0,22.91843172,85.40695044,7.13147457,106.2817706,pomegranate
21.0,6.0,41.0,24.88244467,89.39686219,7.086947687,107.1951707,pomegranate
29.0,21.0,45.0,23.40981539,93.13277,6.749260456,105.2240743,pomegranate
23.0,5.0,44.0,21.20725375,94.26304717,7.16300467,107.5660804,pomegranate
13.0,7.0,43.0,18.20230419,91.12282162,7.013481515,109.6623974,pomegranate
5.0,13.0,37.0,22.34375696,89.7870345,5.648243649,103.3183074,pomegranate
27.0,24.0,41.0,24.32770134,90.88292835,6.610251186,110.4606459,pomegranate
7.0,23.0,35.0,19.75088482,88.71691157,7.054313823,102.5538035,pomegranate
12.0,20.0,39.0,19.86173586,86.19740917,6.026999326,111.0217929,pomegranate
4.0,19.0,43.0,18.07132963,93.14554876,5.779427402,106.3602023,pomegranate
3.0,9.0,45.0,23.89162561,89.61850203,6.535244251,104.617522,pomegranate
1.0,27.0,36.0,23.98598756,93.34236582,5.684995235,104.991282,pomegranate
23.0,30.0,44.0,20.93892916,85.42912869,6.12476108,103.0295938,pomegranate
24.0,21.0,42.0,20.82210727,87.22815682,6.999014379,109.4429934,pomegranate
13.0,30.0,37.0,20.86474944,91.61793636,6.277148771,106.8685636,pomegranate
40.0,11.0,44.0,24.45840036,86.10874614,6.322396027,111.3779693,pomegranate
21.0,9.0,40.0,24.51147697,90.64498715,5.956401828,105.6209954,pomegranate
3.0,27.0,44.0,24.56811204,92.03009222,6.591302797,110.9633894,pomegranate
40.0,29.0,42.0,24.63228709,89.01574455,7.104094929,110.6956184,pomegranate
14.0,25.0,40.0,20.07386547,90.97819712,6.407872061,103.7084055,pomegranate
38.0,14.0,37.0,21.80523051,94.63612858,6.658402594,102.6488846,pomegranate
34.0,9.0,36.0,22.8122645,86.34233767,6.276038961,110.4432293,pomegranate
32.0,14.0,37.0,22.73031253,88.48567856,6.825256236,104.6843243,pomegranate
18.0,21.0,35.0,23.2801227,94.94330457,6.368560522,111.1382096,pomegranate
8.0,23.0,38.0,19.30106297,87.1775172,7.005410734,105.4766591,pomegranate
15.0,6.0,41.0,19.0087067,88.83768149,6.897368477,108.6793978,pomegranate
0.0,5.0,36.0,24.35193812,90.88612388,6.152906502,105.529185,pomegranate
22.0,9.0,44.0,24.72235539,88.87651295,5.744361602,112.1926517,pomegranate
14.0,8.0,43.0,21.92513945,94.46485312,7.051654924,111.7162016,pomegranate
31.0,11.0,45.0,24.83954414,86.88738076,6.034612928,107.6435771,pomegranate
39.0,17.0,45.0,18.09691127,90.42177379,6.924490731,104.88189,pomegranate
10.0,5.0,42.0,20.24104904,91.08706822,6.887005997,109.2537734,pomegranate
8.0,28.0,38.0,23.22594,94.42971362,6.8444019,105.6917856,pomegranate
32.0,13.0,42.0,23.50128217,92.97527546,5.786058032,106.61905,pomegranate
18.0,9.0,40.0,19.44623085,89.02127045,5.627186257,106.1606833,pomegranate
20.0,27.0,41.0,20.51343484,92.51675903,5.700088663,110.5764023,pomegranate
39.0,25.0,36.0,18.90223032,94.99897537,5.567805185,107.6103211,pomegranate
20.0,7.0,45.0,18.90592319,89.24126808,6.077886012,112.4750941,pomegranate
11.0,10.0,45.0,22.63045168,88.45577158,6.397995609,109.0357597,pomegranate
40.0,18.0,43.0,19.38603815,86.79058496,5.767372539,109.9130984,pomegranate
3.0,26.0,39.0,24.38318965,91.19431555,7.079973241,103.6012114,pomegranate
9.0,16.0,36.0,23.77989026,92.93386903,5.893332378,106.977723,pomegranate
30.0,20.0,38.0,22.59890174,93.16343942,7.058222596,110.0932899,pomegranate
40.0,9.0,41.0,24.37766782,85.4017118,5.78270695,106.128338,pomegranate
40.0,30.0,35.0,20.89273273,91.07776977,6.269663963,104.4407083,pomegranate
32.0,25.0,35.0,18.09903225,85.70786282,5.892913826,107.0050976,pomegranate
33.0,23.0,45.0,20.00218987,85.83618191,7.116538883,112.337046,pomegranate
4.0,14.0,41.0,19.85139326,89.80732335,6.430163481,102.8186358,pomegranate
13.0,17.0,45.0,21.25433607,92.65058936,7.159520979,106.2784673,pomegranate
39.0,24.0,39.0,23.65374106,93.32657504,6.431265737,109.8076178,pomegranate
8.0,28.0,37.0,23.88404783,86.20613842,6.082571701,108.3121789,pomegranate
91.0,94.0,46.0,29.36792366,76.24900101,6.149934034,92.82840911,banana
105.0,95.0,50.0,27.33368994,83.67675197,5.849076099,101.0494791,banana
108.0,92.0,53.0,27.40053601,82.96221306,6.276800323,104.9378,banana
86.0,76.0,54.0,29.3159075,80.11585705,5.926824754,90.10978128,banana
80.0,77.0,49.0,26.05433004,79.39654531,5.519088423,113.2297373,banana
93.0,94.0,53.0,25.86632408,84.42379269,6.079178788,114.5357503,banana
90.0,92.0,55.0,27.00932084,80.18546798,6.13465588,97.32531705,banana
108.0,89.0,53.0,29.55054817,78.06762846,5.808497604,99.34482238,banana
108.0,88.0,55.0,26.28845991,83.390039,5.891458107,113.8729798,banana
105.0,77.0,52.0,29.16226551,76.16151562,5.816622479,100.0075679,banana
118.0,88.0,52.0,28.65003945,82.68752542,5.843163161,98.75084366,banana
101.0,87.0,54.0,29.07311132,76.50045221,6.376756633,100.1692639,banana
95.0,75.0,50.0,28.08166093,75.26429821,5.623615687,118.2761894,banana
106.0,85.0,53.0,27.1994597,78.8086068,5.91505509,99.72430835,banana
86.0,95.0,49.0,28.05484146,78.04602887,6.458714879,108.3957179,banana
83.0,79.0,55.0,25.14748006,83.34688193,5.565028635,98.66679427,banana
85.0,95.0,47.0,25.94019018,78.3422098,6.211833161,119.84797,banana
109.0,79.0,45.0,27.66752761,79.68542782,6.490074429,108.66464,banana
100.0,76.0,45.0,25.56703012,75.94067692,5.590236025,102.7867717,banana
117.0,86.0,48.0,28.6956201,82.54195839,6.225225239,116.1616839,banana
114.0,94.0,53.0,26.33544853,76.8532006,6.190757459,118.6858263,banana
110.0,78.0,50.0,25.93730186,78.89864446,5.915568968,98.21747528,banana
94.0,70.0,48.0,25.13686519,84.88394407,6.195152442,91.46442491,banana
80.0,71.0,47.0,27.50527651,80.79783998,6.156373499,105.0776992,banana
114.0,79.0,51.0,26.21009246,82.34429458,6.313197204,112.0700033,banana
88.0,78.0,45.0,29.10403455,79.19588629,6.324270089,92.07835761,banana
112.0,73.0,48.0,29.2440638,77.32017166,5.707488987,90.66727868,banana
117.0,76.0,47.0,25.56202173,77.38229006,6.119216009,93.10247183,banana
111.0,87.0,48.0,26.3985515,81.36028902,5.571401169,98.16752001,banana
89.0,83.0,47.0,28.09577643,77.79586769,5.63127166,109.5408614,banana
93.0,91.0,47.0,27.84767901,83.31110751,6.101241579,117.2878912,banana
92.0,81.0,52.0,27.39341554,81.4654833,6.438137279,94.31102057,banana
105.0,74.0,45.0,25.14517635,81.38204104,6.098369122,119.218154,banana
102.0,71.0,48.0,28.65456263,79.28693687,5.695267822,102.4633775,banana
94.0,91.0,51.0,29.16093424,76.67484233,5.618094446,109.575944,banana
116.0,71.0,47.0,27.57278064,82.0638878,6.435785799,91.34276507,banana
117.0,79.0,49.0,25.40909896,82.36208097,6.176644228,112.9794804,banana
119.0,72.0,55.0,25.99069521,83.33983116,6.220643671,112.0777152,banana
99.0,73.0,53.0,26.29039046,81.06003778,5.871702211,118.6730366,banana
91.0,84.0,52.0,29.14827211,78.71024836,6.390741836,117.536781,banana
80.0,90.0,47.0,26.59743595,79.35898915,6.21084479,107.3944717,banana
101.0,70.0,48.0,25.36059237,75.03193255,6.012696655,116.5531455,banana
108.0,89.0,53.0,29.12036889,80.18080728,5.908770059,112.3982055,banana
100.0,80.0,52.0,27.53911354,77.25629897,6.049801781,110.3262123,banana
109.0,91.0,53.0,29.66727337,83.51014178,6.010095853,110.2511102,banana
82.0,78.0,46.0,25.05802193,84.97323747,5.738678895,110.4408803,banana
106.0,70.0,55.0,25.86824781,78.52399914,5.74055541,116.3019555,banana
90.0,86.0,52.0,25.85036988,81.95580471,5.793260262,119.0856171,banana
83.0,95.0,50.0,26.51682337,77.79913575,5.50947065,108.8547508,banana
119.0,90.0,48.0,28.66725136,79.59242542,5.986442306,118.2583441,banana
107.0,72.0,45.0,28.14938935,81.54448882,5.790768046,91.40508414,banana
116.0,81.0,55.0,26.42313317,83.6995044,5.915546415,95.12322062,banana
101.0,75.0,50.0,26.59386409,81.40740301,6.242528278,109.9825551,banana
93.0,81.0,50.0,27.71822477,76.57853189,6.036079266,102.2099836,banana
95.0,75.0,45.0,28.98333432,82.95958244,5.829898502,109.022564,banana
107.0,71.0,55.0,29.42017919,83.96754496,6.088064451,117.229079,banana
83.0,94.0,47.0,27.39872329,81.10523402,6.469370954,112.1355384,banana
102.0,73.0,54.0,26.4020227,84.41007614,5.720726906,111.0162259,banana
86.0,79.0,45.0,27.81251452,82.69285419,5.80766417,99.20961514,banana
117.0,86.0,53.0,25.19640218,83.55829874,5.703381728,115.8586081,banana
111.0,79.0,53.0,28.31193338,75.77363772,6.165001278,119.695765,banana
95.0,74.0,50.0,25.90113128,80.47152737,6.002481605,110.10323,banana
91.0,75.0,55.0,27.48612983,76.11239849,6.212369363,109.2768851,banana
93.0,83.0,46.0,29.38254012,83.50423735,5.765308943,109.2486647,banana
92.0,85.0,51.0,29.22118628,81.08183635,5.740764682,108.8616474,banana
104.0,80.0,54.0,27.09062164,81.33506906,5.879119455,110.1331182,banana
103.0,72.0,51.0,26.12643374,81.81365007,6.099478745,104.4812858,banana
92.0,75.0,45.0,29.01207743,77.95192527,5.674403359,90.43495443,banana
93.0,85.0,49.0,27.96799119,79.28625709,5.694243847,119.4765557,banana
120.0,87.0,52.0,28.0764455,76.05522115,5.905494703,118.9923573,banana
108.0,72.0,46.0,25.16278237,84.97849241,6.110844721,90.94554618,banana
105.0,88.0,54.0,25.78749808,84.51194224,6.020445317,114.2005455,banana
98.0,79.0,50.0,25.34119774,84.47321314,6.435917308,91.06493353,banana
111.0,88.0,55.0,29.44795403,78.34971537,5.505393833,96.45042585,banana
97.0,74.0,45.0,26.47522633,78.51833782,5.677719902,113.1161095,banana
95.0,82.0,48.0,27.39489579,83.31172003,5.719014989,92.78133617,banana
89.0,91.0,55.0,25.08347445,80.261731,6.275572298,94.32961456,banana
89.0,85.0,55.0,26.6719835,76.48541655,6.275384607,91.73358569,banana
118.0,88.0,51.0,25.44926208,79.49221962,6.201911642,100.6619171,banana
101.0,92.0,45.0,28.22776705,80.6430384,5.758054257,98.00403016,banana
99.0,92.0,47.0,28.1279509,77.48247073,6.323933647,103.5045395,banana
82.0,77.0,46.0,28.9470467,82.1888998,5.901100841,95.83016448,banana
90.0,86.0,55.0,27.96236771,84.15403614,5.644486582,97.55986676,banana
95.0,88.0,52.0,28.00316034,78.90085998,6.235461772,94.68180316,banana
104.0,73.0,46.0,29.1400919,80.1190228,6.28236237,90.45142867,banana
102.0,73.0,52.0,27.9122104,83.36307683,6.356090905,90.24211529,banana
100.0,74.0,52.0,25.43480512,81.53977797,5.837258235,96.47800391,banana
94.0,89.0,48.0,28.55980972,84.51602322,5.653437902,111.0843029,banana
99.0,70.0,46.0,26.59580783,82.99556744,5.727469947,100.5123341,banana
112.0,87.0,48.0,27.19711623,77.3970629,6.200111068,99.46950465,banana
117.0,82.0,45.0,25.29391516,79.29122198,5.614471478,105.4220251,banana
96.0,86.0,51.0,29.90888522,76.98740841,6.257369799,91.99964712,banana
113.0,85.0,45.0,27.94972463,76.63713353,6.037430836,109.0921631,banana
105.0,93.0,46.0,25.01018457,78.76260938,5.760457558,108.3690513,banana
85.0,89.0,51.0,29.21144871,84.70189923,6.158164422,108.5501443,banana
108.0,94.0,47.0,27.35911627,84.54625006,6.387431383,90.81250457,banana
92.0,81.0,52.0,28.0106804,76.52808057,5.891413895,103.7040783,banana
110.0,71.0,54.0,28.67208915,82.20793613,5.725418961,94.37987496,banana
82.0,75.0,55.0,27.34585147,78.4873835,6.281069505,92.15524332,banana
117.0,81.0,53.0,29.50704598,78.20585613,5.507641778,98.12565829,banana
2.0,40.0,27.0,29.73770045,47.54885174,5.954626604,90.09586854,mango
39.0,24.0,31.0,33.55695561,53.72979826,4.757114897,98.67527561,mango
21.0,26.0,27.0,27.00315545,47.67525434,5.699586972,95.85118326,mango
25.0,22.0,25.0,33.56150184,45.53556603,5.977413803,95.70525913,mango
0.0,21.0,32.0,35.89855625,54.25964196,6.430139436,92.19721736,mango
20.0,19.0,35.0,34.17719782,50.62161586,6.113935087,98.00687989,mango
19.0,21.0,34.0,30.01592643,53.19212381,5.074272692,97.72843182,mango
18.0,17.0,31.0,31.74592134,45.16127859,5.667507706,93.75441586,mango
11.0,36.0,33.0,35.99009679,52.22780489,5.978634285,95.3713484,mango
30.0,28.0,30.0,31.86641378,52.19331595,5.064613314,98.46768642,mango
18.0,19.0,27.0,27.75518664,52.34605806,4.772385986,94.11213345,mango
23.0,23.0,27.0,34.72413192,51.4271781,5.161148592,97.31258083,mango
37.0,30.0,34.0,27.53907547,53.63549533,6.797779227,99.35408185,mango
11.0,27.0,30.0,27.69637763,48.5622488,6.39474303,89.85646496,mango
12.0,19.0,31.0,27.25373364,52.66319725,5.566704378,91.87312479,mango
3.0,28.0,33.0,30.33723921,48.88704844,5.755049971,94.42850522,mango
37.0,38.0,32.0,31.85744939,45.53106268,5.417340525,91.55845821,mango
26.0,37.0,30.0,35.39986338,49.45962621,6.166173834,97.41054011,mango
14.0,18.0,30.0,29.80747243,52.13797867,5.191265116,95.74606104,mango
40.0,16.0,35.0,34.16438906,54.16482251,4.954739564,98.33351125,mango
4.0,20.0,25.0,28.93270187,47.94053996,5.664587011,99.9834242,mango
36.0,25.0,33.0,27.98392787,53.33018851,5.548584852,99.61465679,mango
30.0,17.0,31.0,31.20478173,54.49960506,6.804437106,94.62954663,mango
28.0,37.0,28.0,32.13409675,50.52559148,6.097869767,98.63333684,mango
38.0,15.0,30.0,28.91862016,48.13974548,5.075504537,97.01331604,mango
12.0,37.0,30.0,31.09779147,47.41196659,4.546466109,90.28624348,mango
38.0,19.0,31.0,34.73823882,49.08864345,5.855119268,90.65022183,mango
8.0,33.0,29.0,29.98080499,49.48613279,6.442393461,91.82271568,mango
15.0,27.0,28.0,33.80398664,46.12866113,4.507523551,90.82549241,mango
34.0,16.0,25.0,30.07202564,50.96040505,6.10729559,92.09609766,mango
11.0,36.0,31.0,27.92063282,51.77965917,6.47544932,100.2585673,mango
33.0,29.0,34.0,31.40948821,49.21729127,6.832979509,92.99739415,mango
12.0,31.0,26.0,35.7877738,51.94190321,5.395275719,100.2160615,mango
12.0,34.0,28.0,33.36140093,45.02236377,6.13526938,98.81596545,mango
5.0,16.0,31.0,35.96054636,48.69677802,4.555688532,98.00644238,mango
1.0,30.0,29.0,28.33333307,51.39586505,6.434197756,91.67241761,mango
16.0,35.0,31.0,32.27652024,50.19368841,5.316875978,95.99487068,mango
35.0,18.0,26.0,31.99490489,50.84881347,5.279388967,97.38741498,mango
4.0,40.0,26.0,27.58258929,48.56916221,6.720041791,95.8445641,mango
9.0,29.0,34.0,29.38471637,45.88744691,5.72742254,100.8124659,mango
2.0,38.0,33.0,32.38697531,53.2328243,4.691396195,90.21633216,mango
26.0,32.0,32.0,30.91471455,49.92963856,6.810186079,90.14047759,mango
34.0,38.0,31.0,35.37775595,45.58110023,6.454045329,97.41586402,mango
5.0,32.0,33.0,32.32362177,52.5896771,5.842763773,93.36718816,mango
31.0,29.0,26.0,28.22373428,47.40519056,5.024124684,97.76832322,mango
34.0,34.0,35.0,27.27433181,47.16808054,6.422710539,95.257992,mango
36.0,19.0,32.0,27.10710832,50.70880979,4.94295037,92.37238878,mango
7.0,17.0,26.0,34.89226666,48.75613373,6.414526606,91.63074547,mango
38.0,15.0,27.0,33.7462686,48.50387598,6.777788126,92.26439205,mango
5.0,19.0,25.0,27.3511056,54.43945147,6.441328044,96.27792547,mango
37.0,36.0,26.0,32.89300162,52.61323969,4.650536197,94.49161372,mango
21.0,31.0,32.0,35.38598705,51.42664176,5.254532213,90.29643888,mango
37.0,36.0,27.0,27.5529736,47.90859131,5.910634533,90.40332704,mango
23.0,23.0,30.0,32.82141065,47.45553843,4.755273631,90.89173106,mango
36.0,26.0,26.0,30.17294105,51.0845903,6.814630246,95.23444287,mango
24.0,33.0,35.0,29.26382931,54.82257868,5.342866119,100.7586226,mango
26.0,18.0,30.0,32.06097197,51.08494181,6.336234624,96.59816497,mango
22.0,17.0,26.0,28.69818144,47.71875722,4.754435025,99.642454,mango
11.0,34.0,32.0,29.14305008,49.40983294,6.831706773,97.55155537,mango
29.0,35.0,28.0,28.3471611,53.53903102,6.967417766,90.40260445,mango
22.0,28.0,26.0,27.67256197,45.41692012,4.947683034,92.84991507,mango
23.0,24.0,32.0,28.1218093,46.16888595,5.630619901,93.30247448,mango
1.0,35.0,34.0,30.79375683,46.69536813,6.27339822,92.21318555,mango
2.0,24.0,34.0,28.89409382,54.80750249,6.472774648,94.76322976,mango
39.0,37.0,25.0,33.33024826,45.61143594,6.953246506,98.28583013,mango
15.0,36.0,27.0,27.78912455,53.96886679,5.643710216,91.01152997,mango
3.0,18.0,31.0,31.65333432,48.20662669,6.392313973,91.09745581,mango
8.0,38.0,32.0,29.75150773,46.73723302,4.981816523,91.405983,mango
33.0,31.0,34.0,31.32995611,50.22287593,5.421265283,89.78216168,mango
14.0,29.0,32.0,35.63627319,48.97047762,6.942520105,97.51952041,mango
18.0,20.0,26.0,31.66524687,51.98594645,5.435840509,89.98024312,mango
9.0,21.0,32.0,32.26935342,53.56092806,5.870116071,95.94035356,mango
20.0,30.0,27.0,27.81005614,51.59445462,4.74910393,95.89898581,mango
9.0,38.0,25.0,34.58561471,50.34035336,5.497946899,100.3060719,mango
26.0,24.0,34.0,31.27180992,52.23810152,6.811291098,89.74409017,mango
31.0,36.0,29.0,33.93679864,52.72170281,6.460542749,97.4611918,mango
14.0,18.0,35.0,31.09154239,47.02058367,4.791146778,91.46664318,mango
40.0,16.0,35.0,31.89356292,49.02450149,6.4841522,89.59371481,mango
28.0,27.0,34.0,32.45465292,50.69693751,6.526654345,95.04871605,mango
0.0,17.0,30.0,35.47478322,47.97230503,6.279133738,97.79072474,mango
1.0,29.0,29.0,27.32961444,49.30347234,6.052026047,93.53197359,mango
2.0,36.0,31.0,30.90225239,49.95955487,5.73171945,91.77522598,mango
12.0,27.0,26.0,29.09382275,45.5661059,5.32307197,96.23520043,mango
7.0,28.0,35.0,30.02086169,46.78393776,4.66910839,96.63721027,mango
0.0,36.0,26.0,34.13072188,51.25786185,5.101206389,96.38808001,mango
26.0,35.0,31.0,33.44619894,53.05980465,5.339556562,98.05089394,mango
27.0,21.0,30.0,35.3915464,52.48823147,5.061081874,91.22881052,mango
22.0,38.0,31.0,31.53356352,53.06009323,5.821106036,98.57025046,mango
22.0,18.0,31.0,30.7645515,47.93791463,5.956027059,90.38503469,mango
28.0,23.0,28.0,30.01821337,50.0983181,5.676032581,96.08745082,mango
7.0,31.0,27.0,31.32863689,47.59319575,6.524114355,94.67344737,mango
29.0,34.0,26.0,33.88004781,54.39416048,6.273953676,89.29147581,mango
8.0,37.0,33.0,28.07802689,54.9640534,6.128167757,97.45373619,mango
39.0,16.0,27.0,35.53845018,52.94641947,4.934964765,91.54560427,mango
40.0,24.0,25.0,28.70595247,50.44030129,5.445008416,95.8946444,mango
19.0,38.0,26.0,31.48451729,48.77926304,4.525722333,93.17221967,mango
21.0,21.0,30.0,27.69819273,51.41593238,5.403908328,100.7720705,mango
22.0,18.0,33.0,30.41235793,52.48100602,6.621623545,93.92375879,mango
31.0,20.0,30.0,32.17752026,54.01352682,6.207495815,91.88766069,mango
18.0,26.0,31.0,32.6112614,47.74916499,5.418475257,91.10190759,mango
